"","DIA.Open","DIA.High","DIA.Low","DIA.Close","DIA.Volume","DIA.WAP","DIA.hasGaps","DIA.Count"
"2019-10-30 08:30:00",270.87,270.88,270.55,270.61,445,270.692,0,185
"2019-10-30 08:31:00",270.62,270.64,270.56,270.61,138,270.606,0,83
"2019-10-30 08:32:00",270.57,270.68,270.57,270.68,100,270.622,0,74
"2019-10-30 08:33:00",270.68,270.72,270.53,270.54,116,270.651,0,81
"2019-10-30 08:34:00",270.53,270.54,270.44,270.47,206,270.495,0,112
"2019-10-30 08:35:00",270.46,270.52,270.33,270.52,93,270.421,0,52
"2019-10-30 08:36:00",270.5,270.5,270.29,270.34,29,270.405,0,16
"2019-10-30 08:37:00",270.32,270.34,270.22,270.24,32,270.26,0,19
"2019-10-30 08:38:00",270.18,270.23,270.16,270.18,74,270.176,0,37
"2019-10-30 08:39:00",270.15,270.27,270.11,270.27,65,270.166,0,38
"2019-10-30 08:40:00",270.28,270.28,270.19,270.25,57,270.221,0,44
"2019-10-30 08:41:00",270.26,270.31,270.25,270.27,45,270.289,0,36
"2019-10-30 08:42:00",270.26,270.37,270.26,270.36,78,270.347,0,45
"2019-10-30 08:43:00",270.38,270.5,270.36,270.46,193,270.449,0,133
"2019-10-30 08:44:00",270.46,270.53,270.42,270.45,232,270.49,0,168
"2019-10-30 08:45:00",270.45,270.47,270.4,270.46,64,270.432,0,48
"2019-10-30 08:46:00",270.47,270.51,270.45,270.46,97,270.487,0,85
"2019-10-30 08:47:00",270.47,270.47,270.4,270.41,43,270.456,0,22
"2019-10-30 08:48:00",270.42,270.45,270.37,270.45,73,270.404,0,51
"2019-10-30 08:49:00",270.45,270.51,270.45,270.48,13,270.479,0,12
"2019-10-30 08:50:00",270.45,270.52,270.45,270.45,11,270.475,0,6
"2019-10-30 08:51:00",270.47,270.53,270.4,270.51,58,270.509,0,21
"2019-10-30 08:52:00",270.49,270.6,270.49,270.56,66,270.557,0,44
"2019-10-30 08:53:00",270.55,270.56,270.51,270.53,12,270.534,0,11
"2019-10-30 08:54:00",270.51,270.53,270.5,270.52,7,270.514,0,7
"2019-10-30 08:55:00",270.51,270.51,270.47,270.51,18,270.487,0,13
"2019-10-30 08:56:00",270.48,270.48,270.48,270.48,1,270.48,0,1
"2019-10-30 08:57:00",270.48,270.52,270.47,270.52,20,270.479,0,11
"2019-10-30 08:58:00",270.53,270.56,270.53,270.56,8,270.543,0,8
"2019-10-30 08:59:00",270.53,270.54,270.51,270.51,4,270.529,0,4
"2019-10-30 09:00:00",270.47,270.55,270.47,270.54,5,270.515,0,4
"2019-10-30 09:01:00",270.56,270.56,270.54,270.54,4,270.548,0,3
"2019-10-30 09:02:00",270.55,270.56,270.54,270.56,9,270.549,0,9
