,IWM.Open,IWM.High,IWM.Low,IWM.Close,IWM.Volume,IWM.hasGaps
10/30/2019 8:30,156.79,156.81,156.55,156.58,849,0
10/30/2019 8:31,156.59,156.62,156.54,156.55,357,0
10/30/2019 8:32,156.57,156.6,156.53,156.56,428,0
10/30/2019 8:33,156.55,156.62,156.51,156.52,388,0
10/30/2019 8:34,156.51,156.52,156.32,156.32,756,0
10/30/2019 8:35,156.31,156.36,156.22,156.34,933,0
10/30/2019 8:36,156.34,156.37,156.27,156.31,842,0
10/30/2019 8:37,156.31,156.31,156.17,156.19,917,0
10/30/2019 8:38,156.18,156.18,156.05,156.08,660,0
10/30/2019 8:39,156.08,156.1,156.02,156.08,1111,0
10/30/2019 8:40,156.07,156.07,155.98,156,876,0
10/30/2019 8:41,155.99,156.08,155.99,156.01,1496,0
10/30/2019 8:42,156,156.13,155.99,156.12,470,0
10/30/2019 8:43,156.12,156.21,156.09,156.15,413,0
10/30/2019 8:44,156.15,156.24,156.15,156.24,635,0
10/30/2019 8:45,156.25,156.26,156.21,156.25,356,0
10/30/2019 8:46,156.23,156.23,156.14,156.19,612,0
10/30/2019 8:47,156.19,156.23,156.17,156.17,239,0
10/30/2019 8:48,156.17,156.18,156.12,156.18,420,0
10/30/2019 8:49,156.17,156.18,156.14,156.14,147,0
10/30/2019 8:50,156.14,156.17,156.07,156.09,748,0
10/30/2019 8:51,156.1,156.14,156.01,156.05,738,0
10/30/2019 8:52,156.04,156.13,155.99,156.11,1715,0
10/30/2019 8:53,156.09,156.13,156.07,156.09,163,0
10/30/2019 8:54,156.08,156.09,156.04,156.05,332,0
10/30/2019 8:55,156.04,156.07,156,156.07,586,0
10/30/2019 8:56,156.06,156.09,156.01,156.03,266,0
10/30/2019 8:57,156.02,156.05,155.99,156.01,249,0
10/30/2019 8:58,156.02,156.04,155.99,156.01,342,0
10/30/2019 8:59,156.01,156.02,155.92,155.94,195,0
10/30/2019 9:00,155.94,155.95,155.87,155.91,174,0
10/30/2019 9:01,155.92,155.93,155.8,155.81,208,0
10/30/2019 9:02,155.79,155.82,155.77,155.8,347,0
10/30/2019 9:03,155.8,155.82,155.43,155.55,2264,0
10/30/2019 9:04,155.54,155.81,155.28,155.78,4385,0
10/30/2019 9:05,155.78,155.87,155.69,155.72,1765,0
10/30/2019 9:06,155.71,155.71,155.53,155.6,2106,0
10/30/2019 9:07,155.61,155.79,155.6,155.79,626,0
10/30/2019 9:08,155.78,155.83,155.73,155.81,191,0
10/30/2019 9:09,155.81,155.89,155.77,155.88,260,0
10/30/2019 9:10,155.89,156.02,155.89,155.98,597,0
10/30/2019 9:11,155.98,156.06,155.95,156.05,644,0
10/30/2019 9:12,156.04,156.05,155.98,155.99,110,0
10/30/2019 9:13,155.99,156.02,155.94,155.96,252,0
10/30/2019 9:14,155.95,155.97,155.91,155.96,210,0
10/30/2019 9:15,155.96,155.98,155.89,155.91,221,0
10/30/2019 9:16,155.91,155.95,155.88,155.88,134,0
10/30/2019 9:17,155.9,155.94,155.87,155.93,189,0
10/30/2019 9:18,155.93,156.05,155.93,155.99,172,0
10/30/2019 9:19,155.98,156.04,155.97,156.04,129,0
10/30/2019 9:20,156.04,156.1,156.04,156.08,242,0
10/30/2019 9:21,156.08,156.1,156.06,156.09,526,0
10/30/2019 9:22,156.09,156.1,156.07,156.09,159,0
10/30/2019 9:23,156.09,156.16,156.08,156.11,653,0
10/30/2019 9:24,156.1,156.1,156,156.01,718,0
10/30/2019 9:25,156.01,156.05,155.99,156.01,105,0
10/30/2019 9:26,156.03,156.07,155.98,156.07,265,0
10/30/2019 9:27,156.09,156.18,156.08,156.18,109,0
10/30/2019 9:28,156.18,156.25,156.17,156.22,249,0
10/30/2019 9:29,156.23,156.24,156.12,156.12,283,0
10/30/2019 9:30,156.16,156.16,156.03,156.08,349,0
10/30/2019 9:31,156.02,156.03,155.97,155.98,161,0
10/30/2019 9:32,155.98,155.98,155.95,155.96,101,0
10/30/2019 9:33,155.95,155.95,155.88,155.91,527,0
10/30/2019 9:34,155.91,155.92,155.85,155.88,168,0
10/30/2019 9:35,155.88,156,155.88,155.99,191,0
10/30/2019 9:36,155.99,156.02,155.9,155.93,317,0
10/30/2019 9:37,155.93,155.96,155.86,155.88,136,0
10/30/2019 9:38,155.89,155.89,155.83,155.89,107,0
10/30/2019 9:39,155.88,155.94,155.83,155.92,266,0
10/30/2019 9:40,155.92,155.95,155.88,155.89,369,0
10/30/2019 9:41,155.89,155.94,155.88,155.88,163,0
10/30/2019 9:42,155.88,155.94,155.88,155.88,246,0
10/30/2019 9:43,155.88,155.94,155.88,155.94,195,0
10/30/2019 9:44,155.95,155.96,155.88,155.89,184,0
10/30/2019 9:45,155.88,155.97,155.87,155.97,186,0
10/30/2019 9:46,155.99,156.01,155.95,155.99,322,0
10/30/2019 9:47,156,156,155.92,155.92,236,0
10/30/2019 9:48,155.91,155.94,155.88,155.94,139,0
10/30/2019 9:49,155.94,155.94,155.85,155.86,65,0
10/30/2019 9:50,155.86,155.87,155.83,155.85,158,0
10/30/2019 9:51,155.84,155.9,155.83,155.87,68,0
10/30/2019 9:52,155.87,155.9,155.86,155.87,41,0
10/30/2019 9:53,155.88,155.89,155.83,155.83,203,0
10/30/2019 9:54,155.84,155.91,155.84,155.91,151,0
10/30/2019 9:55,155.92,155.94,155.92,155.92,103,0
10/30/2019 9:56,155.94,155.94,155.87,155.88,601,0
10/30/2019 9:57,155.88,155.9,155.84,155.88,349,0
10/30/2019 9:58,155.89,155.89,155.88,155.89,32,0
10/30/2019 9:59,155.9,155.9,155.87,155.89,106,0
10/30/2019 10:00,155.89,155.9,155.83,155.9,117,0
10/30/2019 10:01,155.9,155.94,155.89,155.9,118,0
10/30/2019 10:02,155.9,155.9,155.86,155.86,71,0
10/30/2019 10:03,155.86,155.89,155.85,155.88,113,0
10/30/2019 10:04,155.89,155.92,155.88,155.91,124,0
10/30/2019 10:05,155.91,155.91,155.83,155.84,62,0
10/30/2019 10:06,155.84,155.88,155.84,155.85,42,0
10/30/2019 10:07,155.84,155.87,155.79,155.87,206,0
10/30/2019 10:08,155.87,155.92,155.87,155.92,260,0
10/30/2019 10:09,155.91,155.91,155.86,155.86,381,0
